College,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Apps_trans,Accept_trans,Enroll_trans,Top10perc_trans,F.Undergrad_trans,P.Undergrad_trans,Outstate_trans,Books_trans,Personal_trans,PhD_trans,Terminal_trans,S.F.Ratio_trans,perc.alumni_trans,Expend_trans,Apps_transformed,Accept_transformed,Enroll_transformed,Top10perc_transformed,F.Undergrad_transformed,P.Undergrad_transformed,Outstate_transformed,Books_transformed,Personal_transformed,PhD_transformed,Terminal_transformed,S.F.Ratio_transformed,perc.alumni_transformed,Expend_transformed,Accept_Rate,Outstate_Tier,Outstate_Tier_Encoded,Private_Encoded,Apps_transformed_scaled,Accept_transformed_scaled,Enroll_transformed_scaled,Top10perc_transformed_scaled,F.Undergrad_transformed_scaled,P.Undergrad_transformed_scaled,Outstate_transformed_scaled,Books_transformed_scaled,Personal_transformed_scaled,PhD_transformed_scaled,Terminal_transformed_scaled,S.F.Ratio_transformed_scaled,perc.alumni_transformed_scaled,Expend_transformed_scaled,Accept_Rate_scaled,Outstate_Tier_Encoded_scaled,Private_Encoded_scaled
Abilene Christian University,Yes,1660,1232,721,23,52,2885,537,7440,3300,450,2200,70.0,78,18.1,12,7041,60,5.712756072035492,5.598251986362186,4.107319316474121,4.417175042264962,3.760782898001725,8.337244174603292,59.118423721452174,9.213393432273651,10.338539475874114,2725.181328249345,39361.14463169006,7.640161914235766,4.953607358725779,1.8281686236105688,5.712756072035492,5.598251986362186,4.107319316474121,4.417175042264962,3.760782898001725,8.337244174603292,59.118423721452174,9.213393432273651,10.338539475874114,2725.181328249345,39361.14463169006,7.640161914235766,4.953607358725779,1.8281686236105688,0.7421686746987952,Low,0,1,0.027875084216752014,0.04112349978782947,0.49398839253252935,-0.04753313995778422,0.43375745827735374,0.3064872489683561,-0.6934524379658119,-0.6143252338289236,1.271441718087908,-0.2921172878935758,-0.2828555413330692,1.0190329338711737,-0.8347120348951067,-0.4911902928883103,-0.032372339112454566,-1.0987972149572356,0.6125530498969481
Adelphi University,Yes,2186,1924,512,16,29,2683,1227,12280,6450,750,1500,29.0,30,12.2,16,10527,56,5.870437228691524,5.8639899168266005,3.9821060520204457,3.793745093657405,3.7480812750649917,9.8048055532427,70.74984001972405,10.352802615829257,9.675230393594894,477.50063363371055,3317.8363661041685,5.860981033586721,5.900711370401069,1.8311225815252163,5.870437228691524,5.8639899168266005,3.9821060520204457,3.793745093657405,3.7480812750649917,9.8048055532427,70.74984001972405,10.352802615829257,9.675230393594894,477.50063363371055,3317.8363661041685,5.860981033586721,5.900711370401069,1.8311225815252163,0.8801463860933212,Mid,1,1,0.2830852881943322,0.4860695997446218,0.1425396793929512,-0.5868962977653778,0.36552603724079685,0.8731629541442719,0.5562703143209636,1.302507133936391,0.4565936404384389,-2.175248403229149,-2.247871935822592,-0.43446218134192693,-0.4323290036172367,0.5523695353645415,0.9061926295687938,0.3581403891754813,0.6125530498969481
Adrian College,Yes,1428,1097,336,22,50,1036,99,11250,3750,400,1165,53.0,66,12.9,30,8735,54,5.625166061776849,5.527701105165132,3.818675603625539,4.337922600177787,3.5614716910991593,5.648713680425285,68.56955069496276,8.96107520321098,9.2476629406318,1567.2469311353118,25461.318422189914,6.0879303745316315,8.50587730878895,1.829831870131071,5.625166061776849,5.527701105165132,3.818675603625539,4.337922600177787,3.5614716910991593,5.648713680425285,68.56955069496276,8.96107520321098,9.2476629406318,1567.2469311353118,25461.318422189914,6.0879303745316315,8.50587730878895,1.829831870131071,0.7682072829131653,Mid,1,1,-0.11389115379524906,-0.07700543793018212,-0.31617706301307386,-0.1160987382636973,-0.636915710278457,-0.7316464440072331,0.32201189678612024,-1.0388011424180428,-0.06865548763817216,-1.2622472080135945,-1.0406490873905974,-0.24905677256531966,0.6744919519989533,0.0963933164348799,0.14474993126166572,0.3581403891754813,0.6125530498969481
Agnes Scott College,Yes,417,349,137,60,89,510,63,12960,5450,450,875,92.0,97,7.7,37,19016,59,4.871910138630893,4.8003834542283474,3.4335642646344304,6.332033025583393,3.3949718645816405,4.998474400847244,72.12412230939273,9.213393432273651,8.772976174293417,4702.342075565505,69589.80855298844,4.254327129100921,9.56813346581784,1.834447563995889,4.871910138630893,4.8003834542283474,3.4335642646344304,6.332033025583393,3.3949718645816405,4.998474400847244,72.12412230939273,9.213393432273651,8.772976174293417,4702.342075565505,69589.80855298844,4.254327129100921,9.56813346581784,1.834447563995889,0.8369304556354916,Mid,1,1,-1.3330514001444782,-1.2948110844500123,-1.3971079459704356,1.6091146533387966,-1.5313305281499452,-0.9827260974044782,0.7039283295979933,-0.6143252338289236,-0.6517887649745615,1.3643692994630383,1.3651568927969056,-1.7470120335841908,1.1257980885897985,1.7270031071000755,0.6122251618760879,0.3581403891754813,0.6125530498969481
Alaska Pacific University,Yes,193,146,55,16,44,249,869,7560,4120,800,1500,76.0,72,11.9,2,10922,15,4.365716556897597,4.2081194163737266,2.9858236862962104,3.793745093657405,3.198322955811189,9.179261603965477,59.45974658203725,10.50211456361832,9.675230393594894,3210.7343245943,31942.302495605825,5.7621291159934716,1.4356050330977457,1.83136228830651,4.365716556897597,4.2081194163737266,2.9858236862962104,3.793745093657405,3.198322955811189,9.179261603965477,59.45974658203725,10.50211456361832,9.675230393594894,3210.7343245943,31942.302495605825,5.7621291159934716,1.4356050330977457,1.83136228830651,0.7564766839378239,Low,0,1,-2.1523361516389374,-2.2864857517717887,-2.6538266391848824,-0.5868962977653778,-2.5877021869158714,0.6316190134718619,-0.6567794366897636,1.553695186961413,0.4565936404384389,0.11468424657347391,-0.6873174824544503,-0.5152188828746125,-2.329357208369601,0.6370519765995337,0.06495494735718245,-1.0987972149572356,0.6125530498969481
Albertson College,Yes,587,479,158,38,62,678,41,13500,3335,500,675,75.0,73,9.4,11,9727,55,5.087905068536108,5.007199362007863,3.4983143077567753,5.369882157677974,3.4649713222016225,4.407210947656441,73.182079942505,9.442351022087843,8.351273050136344,3127.017536070735,33112.30773484874,4.8959342657145175,4.693250809609002,1.830591795578305,5.087905068536108,5.007199362007863,3.4983143077567753,5.369882157677974,3.4649713222016225,4.407210947656441,73.182079942505,9.442351022087843,8.351273050136344,3127.017536070735,33112.30773484874,4.8959342657145175,4.693250809609002,1.830591795578305,0.8160136286201022,Mid,1,1,-0.9834591515317835,-0.9485228017998929,-1.2153674616026684,0.7767056047201572,-1.1553027961829594,-1.2110331645966375,0.8175992438831524,-0.22914901677242944,-1.1698338049692316,0.044545418704219096,-0.6235308993858222,-1.2228535013648447,-0.9453261344609437,0.36485606780594454,0.4699427534045053,0.3581403891754813,0.6125530498969481
Albertus Magnus College,Yes,353,340,103,17,45,416,230,13290,5720,500,1500,90.0,93,11.5,26,8861,63,4.764738731003618,4.783119698622095,3.299885392504521,3.894175451333956,3.342161260207517,6.93789821605482,72.77401484028941,9.442351022087843,9.675230393594894,4500.210363367248,62329.492559452454,5.628767251036452,7.840523349237043,1.8299356241026803,4.764738731003618,4.783119698622095,3.299885392504521,3.894175451333956,3.342161260207517,6.93789821605482,72.77401484028941,9.442351022087843,9.675230393594894,4500.210363367248,62329.492559452454,5.628767251036452,7.840523349237043,1.8299356241026803,0.9631728045325779,Mid,1,1,-1.506510533633622,-1.3237171601245863,-1.7723179350158718,-0.5000085327852752,-1.8150220375101371,-0.23384814646205462,0.7737552072176591,-0.22914901677242944,0.4565936404384389,1.1950211720584536,0.9693375120855497,-0.6241683558478293,0.3918121831278882,0.13304701290641674,1.4709627437747088,0.3581403891754813,0.6125530498969481
Albion College,Yes,1899,1720,489,37,68,1594,32,13868,4826,450,850,89.0,100,13.7,37,11487,73,5.79020704847636,5.797948994849675,3.9647836357214574,5.316571396825102,3.650798820227689,4.078192796391999,73.88722270765311,9.213393432273651,8.725466682985342,4400.82631344925,75365.02473070551,6.341334969722225,9.56813346581784,1.831682831691824,5.79020704847636,5.797948994849675,3.9647836357214574,5.316571396825102,3.650798820227689,4.078192796391999,73.88722270765311,9.213393432273651,8.725466682985342,4400.82631344925,75365.02473070551,6.341334969722225,9.56813346581784,1.831682831691824,0.9057398630858347,Mid,1,1,0.1532310868928054,0.3754920445577133,0.09391910438190838,0.7305835658560428,-0.15706230981818542,-1.3380783400810938,0.8933624127542497,-0.6143252338289236,-0.7101522318661437,1.1117561437041261,1.6800113003699915,-0.042038843535126456,1.1257980885897985,0.7502919785871572,1.0802869864699451,0.3581403891754813,0.6125530498969481
Albright College,Yes,1038,839,227,30,63,973,306,15595,4400,300,500,79.0,84,11.3,23,11644,80,5.4363682454896045,5.362524706091178,3.656740990759281,4.908029058750458,3.54774887565623,7.397382853879254,77.04174104169452,8.360621760581918,7.873683591318896,3468.58928429813,47766.80550904597,5.561395109609361,7.306201546172464,1.8317676186308718,5.4363682454896045,5.362524706091178,3.656740990759281,4.908029058750458,3.54774887565623,7.397382853879254,77.04174104169452,8.360621760581918,7.873683591318896,3468.58928429813,47766.80550904597,5.561395109609361,7.306201546172464,1.8317676186308718,0.8082851637764933,High,2,1,-0.41946431311888704,-0.3535733875805028,-0.7706952927942133,0.3771313679720627,-0.7106328409913837,-0.056425392670277026,1.2322956289218325,-2.0489462340837274,-1.756532921293452,0.3307179114196808,0.17540598418550252,-0.6792077728800088,0.16480224108923644,0.7802450944091319,0.4173714627910875,1.8150779933081982,0.6125530498969481
Alderson-Broaddus College,Yes,582,498,172,21,44,799,78,10468,3380,660,1800,40.0,41,11.5,15,8991,52,5.082565741038299,5.032302285771343,3.536211389562006,4.255852904198828,3.503410720520122,5.302162766305102,66.82494078769002,10.060656850163479,9.988659024785472,898.1098519274773,7406.169570221859,5.628767251036452,5.67618042622164,1.8300403135709118,5.082565741038299,5.032302285771343,3.536211389562006,4.255852904198828,3.503410720520122,5.302162766305102,66.82494078769002,10.060656850163479,9.988659024785472,898.1098519274773,7406.169570221859,5.628767251036452,5.67618042622164,1.8300403135709118,0.8556701030927835,Mid,1,1,-0.9921009632023521,-0.9064909849397514,-1.108997895324639,-0.18710169614595554,-0.9488114852595048,-0.8654616196426677,0.13456450095113598,0.8110292102757778,0.8416278943466902,-1.8228574660896493,-2.0249833565326143,-0.6241683558478293,-0.5277223720549751,0.1700311970567114,0.7396977547397244,0.3581403891754813,0.6125530498969481
